$,private,public,id,float,integer,semi,rpar,lpar,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,sr,isa,and,div,mult,colon,attribute,constructor,arrow,function,localvar,rsqbr,lsqbr,dot,not,floatlit,intlit,class,equal,or,
ADDOP,,,,,,,,,,,,,,,,,,,ADDOP → minus,ADDOP → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOP → or
APARAMS,,,,APARAMS → EXPR REPTAPARAMS1,,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr intlit rsqbr,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr rsqbr,,,,,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal,
ASSIGNSTAT,,,,ASSIGNSTAT → VARIABLE ASSIGNOP EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL → class id OPTCLASSDECL2 lcurbr REPTCLASSDECL4 rcurbr semi,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF → FUNCDEF,,,,,,,,CLASSDECLORFUNCDEF → CLASSDECL,,
EXPR,,,,EXPR → ARITHEXPR,,,,,EXPR → ARITHEXPR,,,,,,,,,,EXPR → ARITHEXPR,EXPR → ARITHEXPR,,,,,,,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR,EXPR → ARITHEXPR,EXPR → ARITHEXPR,,,
,,,,EXPR → RELEXPR,,,,,EXPR → RELEXPR,,,,,,,,,,EXPR → RELEXPR,EXPR → RELEXPR,,,,,,,,,,,,,,,,,,,,,,,EXPR → RELEXPR,EXPR → RELEXPR,EXPR → RELEXPR,,,
FACTOR,,,,FACTOR → VARIABLE,,,,,FACTOR → lpar ARITHEXPR rpar,,,,,,,,,,FACTOR → SIGN FACTOR,FACTOR → SIGN FACTOR,,,,,,,,,,,,,,,,,,,,,,,FACTOR → not FACTOR,FACTOR → floatlit,FACTOR → intlit,,,
,,,,FACTOR → FUNCTIONCALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMS,,,,FPARAMS → id colon TYPE REPTFPARAMS3 REPTFPARAMS4,,,,FPARAMS → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr REPTFUNCBODY1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function OPTFUNCHEAD1 id lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function id sr constructor lpar FPARAMS rpar,,,,,,,,,,
FUNCTIONCALL,,,,FUNCTIONCALL → REPTFUNCTIONCALL0 id lpar APARAMS rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST,,,,IDNEST → id REPTIDNEST1 dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IDNEST → id lpar APARAMS rpar dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar id colon TYPE REPTLOCALVARDECL4 semi,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar id colon TYPE lpar APARAMS rpar semi,,,,,,,,,
LOCALVARDECLORSTMT,,,,LOCALVARDECLORSTMT → STATEMENT,,,,,,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,,,LOCALVARDECLORSTMT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECLORSTMT → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → MEMBERVARDECL,MEMBERDECL → MEMBERFUNCDECL,,MEMBERDECL → MEMBERFUNCDECL,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → constructor colon lpar FPARAMS rpar semi,,MEMBERFUNCDECL → function id colon lpar FPARAMS rpar arrow RETURNTYPE semi,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id colon TYPE REPTMEMBERVARDECL4 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and,MULTOP → div,MULTOP → mult,,,,,,,,,,,,,,,
OPTCLASSDECL2,,,,,,,,,,,,,,,,,,OPTCLASSDECL2 → &epsilon,,,,,,,,,,,,OPTCLASSDECL2 → isa id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,
OPTFUNCHEAD1,,,,OPTFUNCHEAD1 → id sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,OPTFUNCHEAD1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELEXPR,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq,RELOP → leq,RELOP → gt,RELOP → lt,RELOP → neq,RELOP → eq,,,,,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTCLASSDECL4,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,,,,,,,,,,,,,REPTCLASSDECL4 → &epsilon,,,,,,,,,,,,,,,,,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,,,,,,,,,
REPTFPARAMS3,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,
REPTFUNCBODY1,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,,,,,,,
REPTFUNCTIONCALL0,,,,REPTFUNCTIONCALL0 → IDNEST REPTFUNCTIONCALL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,REPTFUNCTIONCALL0 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIDNEST1 → INDICE REPTIDNEST1,REPTIDNEST1 → &epsilon,,,,,,
REPTLOCALVARDECL4,,,,,,,REPTLOCALVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARDECL4 → ARRAYSIZE REPTLOCALVARDECL4,,,,,,,
REPTMEMBERVARDECL4,,,,,,,REPTMEMBERVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTMEMBERVARDECL4 → ARRAYSIZE REPTMEMBERVARDECL4,,,,,,,
REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,REPTOPTCLASSDECL22 → &epsilon,,,,REPTOPTCLASSDECL22 → comma id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTART0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTSTART0 → CLASSDECLORFUNCDEF REPTSTART0,,,,,,,,REPTSTART0 → CLASSDECLORFUNCDEF REPTSTART0,,
REPTSTATBLOCK1,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE0,,,,REPTVARIABLE0 → IDNEST REPTVARIABLE0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,REPTVARIABLE0 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE2,,,,,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,,,,,,,,,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon,,,,,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → INDICE REPTVARIABLE2,,,,,,REPTVARIABLE2 → &epsilon,REPTVARIABLE2 → &epsilon
RETURNTYPE,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,,RETURNTYPE → void,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,,,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR
RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,START → REPTSTART0,,,,,,,,START → REPTSTART0,,
STATBLOCK,,,,STATBLOCK → STATEMENT,,,STATBLOCK → &epsilon,,,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,STATBLOCK → lcurbr REPTSTATBLOCK1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,STATEMENT → ASSIGNSTAT semi,,,,,,STATEMENT → return lpar EXPR rpar semi,STATEMENT → write lpar EXPR rpar semi,STATEMENT → read lpar VARIABLE rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STATEMENT → FUNCTIONCALL semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM,,,,TERM → FACTOR RIGHTRECTERM,,,,,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,
TYPE,,,,TYPE → id,TYPE → float,TYPE → integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,VARIABLE → REPTVARIABLE0 id REPTVARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISIBILITY → &epsilon,VISIBILITY → &epsilon,,VISIBILITY → &epsilon,,,,,,,,,,
